year,month,date,season,state,state_abbr,primary_mode,setting,etiology,etiology_grouped,ifsac_category,food_vehicle,water_exposure,water_type,water_type_group,animal_type,animal_group,illnesses,hospitalizations,deaths,illnesses_std,hospitalizations_std,deaths_std,hosp_per_ill,death_per_ill,food_vehicle_missing,water_exposure_missing,is_food_related,is_water_related,is_animal_related
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,School/college/university,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,64.0,0.0,0.0,0.019654107057405883,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,Child daycare/preschool,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,10.0,0.0,0.0,-0.014862079892033279,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,School/college/university,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,12.0,0.0,0.0,-0.013583702597609605,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,School/college/university,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,26.0,0.0,0.0,-0.004635061536643897,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Person-to-person,School/college/university,Norovirus Genogroup II,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,46.0,0.0,0.0,0.008148711407592829,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Oregon,OR,Indeterminate/unknown,School/college/university,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,5.0,0.0,0.0,-0.01805802312809246,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Louisiana,LA,Person-to-person,Child daycare/preschool,"Escherichia coli, Enteropathogenic",Other,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,3.0,0.0,0.0,-0.019336400422516133,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Illinois,IL,Food,Caterer,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,25.0,0.0,0.0,-0.005274250183855734,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,1,0,0
2023,1,2023-01-01,Winter,Idaho,ID,Animal contact,Residence - Single-family home,Salmonella enterica,Salmonella,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Cat or kitten,House Pets,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,1
2023,1,2023-01-01,Winter,Colorado,CO,Indeterminate/unknown,Restaurant,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,3.0,0.0,0.0,-0.019336400422516133,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Arizona,AZ,Food,Unknown,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,28.0,0.0,0.0,-0.0033566842422202248,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,1,0,0
2023,1,2023-01-01,Winter,Arizona,AZ,Person-to-person,Long-term care/nursing home/assisted living facility,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,44.0,0.0,0.0,0.006870334113169157,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Arizona,AZ,Person-to-person,Long-term care/nursing home/assisted living facility,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,24.0,4.0,0.0,-0.00591343883106757,0.8426375800562564,-0.09101070221646372,0.16666666666666666,0.0,Missing,Missing,0,0,0
