"Date","Year","Month","season","State","state_abbr","Primary Mode","Etiology","Illnesses","Hospitalizations","Deaths","outbreak_severity","Water Exposure","Water Type","Animal Type","is_food_related","is_water_related","is_animal_related"
"1976-07",1976,7,"Summer","Pennsylvania","PA","Water","Unknown",18,0,0,18,"Drinking water","Other",NA,0,1,0
"1976-07",1976,7,"Summer","Massachusetts","MA","Water","Unknown",18,0,0,18,"Drinking water","Other",NA,0,1,0
"1976-07",1976,7,"Summer","California","CA","Water","Unknown",2,0,0,2,"Other/Environmental water",NA,NA,0,1,0
"1976-07",1976,7,"Summer","Arkansas","AR","Water","Unknown",51,0,0,51,"Drinking water","Other",NA,0,1,0
"1976-07",1976,7,"Summer","Arkansas","AR","Water","Salmonella enterica",7,0,0,7,"Drinking water","Other",NA,0,1,0
"1976-08",1976,8,"Summer","Alaska","AK","Water","Shigella flexneri",25,0,0,25,"Drinking water","Community",NA,0,1,0
"1976-08",1976,8,"Summer","Pennsylvania","PA","Water","Unknown",10,0,0,10,"Drinking water","Other",NA,0,1,0
"1976-10",1976,10,"Fall","New Jersey","NJ","Water","Unknown",104,0,0,104,"Drinking water","Other",NA,0,1,0
"1976-10",1976,10,"Fall","Pennsylvania","PA","Water","Unknown",24,0,0,24,"Drinking water","Individual/Private",NA,0,1,0
"1976-11",1976,11,"Fall","Connecticut","CT","Water","Legionella pneumophila",28,19,12,59,"Other/Environmental water",NA,NA,0,1,0
"1976-11",1976,11,"Fall","Florida","FL","Water","Unknown",31,0,0,31,"Drinking water","Community",NA,0,1,0
"1976-11",1976,11,"Fall","Pennsylvania","PA","Water","Unknown",66,0,0,66,"Drinking water","Other",NA,0,1,0
"1976-12",1976,12,"Winter","Colorado","CO","Water","Unknown",110,0,0,110,"Drinking water","Other",NA,0,1,0
"1977-01",1977,1,"Winter","Pennsylvania","PA","Water","Gasoline",10,0,0,10,"Drinking water","Individual/Private",NA,0,1,0
"1977-01",1977,1,"Winter","Pennsylvania","PA","Water","Unknown",73,0,0,73,"Drinking water","Community",NA,0,1,0
"1977-01",1977,1,"Winter","Pennsylvania","PA","Water","Shigella sonnei",17,0,0,17,"Drinking water","Community",NA,0,1,0
"1977-03",1977,3,"Spring","Vermont","VT","Water","Copper",74,0,0,74,"Drinking water","Community",NA,0,1,0
"1977-04",1977,4,"Spring","New Hampshire","NH","Water","Giardia duodenalis",750,0,0,750,"Drinking water","Community",NA,0,1,0
"1977-04",1977,4,"Spring","New Jersey","NJ","Water","Unknown",10,0,0,10,"Drinking water","Other",NA,0,1,0
"1977-05",1977,5,"Spring","Pennsylvania","PA","Water","Unknown",30,0,0,30,"Drinking water","Other",NA,0,1,0
"1977-05",1977,5,"Spring","Vermont","VT","Water","Legionella unknown",69,56,17,142,"Undetermined water",NA,NA,0,1,0
"1977-05",1977,5,"Spring","Texas","TX","Water","Unknown",12,0,0,12,"Drinking water","Community",NA,0,1,0
"1977-05",1977,5,"Spring","Pennsylvania","PA","Water","Unknown",45,0,0,45,"Drinking water","Other",NA,0,1,0
"1977-05",1977,5,"Spring","Indiana","IN","Water","Legionella unknown",39,35,4,78,"Undetermined water",NA,NA,0,1,0
"1977-05",1977,5,"Spring","Illinois","IL","Water","Unknown",154,0,0,154,"Drinking water","Other",NA,0,1,0
"1977-05",1977,5,"Spring","California","CA","Water","Legionella unknown",49,0,15,64,"Undetermined water",NA,NA,0,1,0
"1977-06",1977,6,"Summer","Virginia","VA","Water","Legionella micdadei",16,0,2,18,"Drinking water","Unknown",NA,0,1,0
"1977-06",1977,6,"Summer","Utah","UT","Water","Giardia duodenalis",7,0,0,7,"Drinking water","Other",NA,0,1,0
"1977-06",1977,6,"Summer","Minnesota","MN","Water","Unknown",13,0,0,13,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","Montana","MT","Water","Giardia duodenalis",55,0,0,55,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","Montana","MT","Water","Giardia duodenalis",200,0,0,200,"Drinking water","Community",NA,0,1,0
"1977-07",1977,7,"Summer","Maine","ME","Water","Unknown",91,0,0,91,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","Iowa","IA","Water","Salmonella unknown",206,0,0,206,"Drinking water","Community",NA,0,1,0
"1977-07",1977,7,"Summer","California","CA","Water","Unknown",203,0,0,203,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","California","CA","Water","Unknown",63,0,0,63,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","Pennsylvania","PA","Water","Unknown",15,0,0,15,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","Pennsylvania","PA","Water","Unknown",47,0,0,47,"Drinking water","Other",NA,0,1,0
"1977-07",1977,7,"Summer","Ohio","OH","Water","Legionella unknown",64,64,1,129,"Undetermined water",NA,NA,0,1,0
"1977-07",1977,7,"Summer","Wyoming","WY","Water","Unknown",402,0,0,402,"Drinking water","Community",NA,0,1,0
"1977-07",1977,7,"Summer","Washington","WA","Water","Unknown",12,0,0,12,"Other/Environmental water",NA,NA,0,1,0
